R,G,B,,Rbar,Gbar,Bbar,
37,46,53,,0.272058824,0.338235294,0.389705882,1
35,45,51,,0.267175573,0.34351145,0.389312977,1
35,45,53,,0.263157895,0.338345865,0.398496241,1
36,45,53,,0.268656716,0.335820896,0.395522388,1
36,45,53,,0.268656716,0.335820896,0.395522388,1
36,45,52,,0.270676692,0.338345865,0.390977444,1
36,45,51,,0.272727273,0.340909091,0.386363636,1
32,42,51,,0.256,0.336,0.408,1
32,41,50,,0.260162602,0.333333333,0.406504065,1
34,44,52,,0.261538462,0.338461538,0.4,1
35,44,51,,0.269230769,0.338461538,0.392307692,1
35,43,51,,0.271317829,0.333333333,0.395348837,1
33,43,52,,0.2578125,0.3359375,0.40625,1
33,42,50,,0.264,0.336,0.4,1
35,45,53,,0.263157895,0.338345865,0.398496241,1
36,46,54,,0.264705882,0.338235294,0.397058824,1
36,45,53,,0.268656716,0.335820896,0.395522388,1
36,44,53,,0.270676692,0.330827068,0.398496241,1
34,43,52,,0.263565891,0.333333333,0.403100775,1
35,46,54,,0.259259259,0.340740741,0.4,1
36,45,53,,0.268656716,0.335820896,0.395522388,1
35,45,52,,0.265151515,0.340909091,0.393939394,1
36,45,52,,0.270676692,0.338345865,0.390977444,1
33,43,51,,0.25984252,0.338582677,0.401574803,1
36,45,52,,0.270676692,0.338345865,0.390977444,1
34,43,50,,0.267716535,0.338582677,0.393700787,1
35,44,51,,0.269230769,0.338461538,0.392307692,1
34,43,50,,0.267716535,0.338582677,0.393700787,1
35,45,52,,0.265151515,0.340909091,0.393939394,1
35,45,52,,0.265151515,0.340909091,0.393939394,1
33,43,51,,0.25984252,0.338582677,0.401574803,1
35,45,52,,0.265151515,0.340909091,0.393939394,1
36,45,51,,0.272727273,0.340909091,0.386363636,1
33,43,50,,0.261904762,0.341269841,0.396825397,1
33,43,50,,0.261904762,0.341269841,0.396825397,1
35,45,52,,0.265151515,0.340909091,0.393939394,1
33,42,50,,0.264,0.336,0.4,1
33,43,50,,0.261904762,0.341269841,0.396825397,1
36,45,52,,0.270676692,0.338345865,0.390977444,1
36,45,52,,0.270676692,0.338345865,0.390977444,1
36,45,52,,0.270676692,0.338345865,0.390977444,1
36,46,53,,0.266666667,0.340740741,0.392592593,1
36,46,53,,0.266666667,0.340740741,0.392592593,1
36,45,51,,0.272727273,0.340909091,0.386363636,1
33,44,52,,0.255813953,0.341085271,0.403100775,1
34,46,54,,0.253731343,0.343283582,0.402985075,1
34,46,53,,0.255639098,0.345864662,0.398496241,1
32,44,52,,0.25,0.34375,0.40625,1
32,44,53,,0.248062016,0.341085271,0.410852713,1
35,45,53,,0.263157895,0.338345865,0.398496241,1
34,46,54,,0.253731343,0.343283582,0.402985075,1
35,45,53,,0.263157895,0.338345865,0.398496241,1
35,45,53,,0.263157895,0.338345865,0.398496241,1
35,45,52,,0.265151515,0.340909091,0.393939394,1
34,45,52,,0.259541985,0.34351145,0.396946565,1
35,45,52,,0.265151515,0.340909091,0.393939394,1
35,44,51,,0.269230769,0.338461538,0.392307692,1
35,48,53,,0.257352941,0.352941176,0.389705882,1
35,48,54,,0.255474453,0.350364964,0.394160584,1
33,46,52,,0.251908397,0.351145038,0.396946565,1
35,48,54,,0.255474453,0.350364964,0.394160584,1
34,46,52,,0.257575758,0.348484848,0.393939394,1
34,47,53,,0.253731343,0.350746269,0.395522388,1
35,47,52,,0.26119403,0.350746269,0.388059701,1
33,45,52,,0.253846154,0.346153846,0.4,1
35,48,53,,0.257352941,0.352941176,0.389705882,1
33,46,51,,0.253846154,0.353846154,0.392307692,1
33,45,51,,0.255813953,0.348837209,0.395348837,1
33,47,52,,0.25,0.356060606,0.393939394,1
32,46,52,,0.246153846,0.353846154,0.4,1
33,45,51,,0.255813953,0.348837209,0.395348837,1
34,47,53,,0.253731343,0.350746269,0.395522388,1
34,47,53,,0.253731343,0.350746269,0.395522388,1
33,45,51,,0.255813953,0.348837209,0.395348837,1
32,45,51,,0.25,0.3515625,0.3984375,1
33,46,52,,0.251908397,0.351145038,0.396946565,1
33,47,51,,0.251908397,0.358778626,0.389312977,1
33,46,51,,0.253846154,0.353846154,0.392307692,1
33,47,51,,0.251908397,0.358778626,0.389312977,1
31,44,49,,0.25,0.35483871,0.39516129,1
31,44,50,,0.248,0.352,0.4,1
31,45,50,,0.246031746,0.357142857,0.396825397,1
32,45,50,,0.251968504,0.354330709,0.393700787,1
31,45,50,,0.246031746,0.357142857,0.396825397,1
32,45,50,,0.251968504,0.354330709,0.393700787,1
34,47,52,,0.255639098,0.353383459,0.390977444,1
32,45,50,,0.251968504,0.354330709,0.393700787,1
34,46,51,,0.259541985,0.351145038,0.389312977,1
35,44,52,,0.267175573,0.335877863,0.396946565,1
37,45,52,,0.276119403,0.335820896,0.388059701,1
34,44,52,,0.261538462,0.338461538,0.4,1
36,46,52,,0.268656716,0.343283582,0.388059701,1
37,45,52,,0.276119403,0.335820896,0.388059701,1
34,43,51,,0.265625,0.3359375,0.3984375,1
36,45,53,,0.268656716,0.335820896,0.395522388,1
37,46,52,,0.274074074,0.340740741,0.385185185,1
36,44,52,,0.272727273,0.333333333,0.393939394,1
37,45,51,,0.278195489,0.338345865,0.383458647,1
36,44,50,,0.276923077,0.338461538,0.384615385,1
35,43,51,,0.271317829,0.333333333,0.395348837,1
,,,,,,,
Mean,,,,Average,,,
34.33,44.95,51.78,,0.261860357,0.342986376,0.395153267,
Standard Deviation,,,,Standard Deviation,,,
1.557354659,1.380784435,1.142211217,,0.008058341,0.007083158,0.005170018,
