R ,G ,B,,Rbar,Gbar,Bbar
44,70,48,,0.271604938,0.432098765,0.296296296
44,69,47,,0.275,0.43125,0.29375
44,70,47,,0.273291925,0.434782609,0.291925466
43,69,46,,0.272151899,0.436708861,0.291139241
43,69,48,,0.26875,0.43125,0.3
43,68,47,,0.272151899,0.430379747,0.297468354
44,69,47,,0.275,0.43125,0.29375
48,76,50,,0.275862069,0.436781609,0.287356322
48,76,50,,0.275862069,0.436781609,0.287356322
49,76,49,,0.281609195,0.436781609,0.281609195
49,76,49,,0.281609195,0.436781609,0.281609195
50,78,51,,0.279329609,0.43575419,0.284916201
47,75,49,,0.274853801,0.438596491,0.286549708
43,65,46,,0.279220779,0.422077922,0.298701299
42,65,48,,0.270967742,0.419354839,0.309677419
43,66,48,,0.27388535,0.420382166,0.305732484
43,66,47,,0.275641026,0.423076923,0.301282051
43,65,47,,0.277419355,0.419354839,0.303225806
43,66,47,,0.275641026,0.423076923,0.301282051
42,64,46,,0.276315789,0.421052632,0.302631579
41,65,47,,0.267973856,0.424836601,0.307189542
45,71,47,,0.27607362,0.435582822,0.288343558
43,68,46,,0.27388535,0.433121019,0.292993631
43,69,46,,0.272151899,0.436708861,0.291139241
43,69,46,,0.272151899,0.436708861,0.291139241
43,70,46,,0.270440252,0.440251572,0.289308176
43,70,47,,0.26875,0.4375,0.29375
43,70,47,,0.26875,0.4375,0.29375
36,68,40,,0.25,0.472222222,0.277777778
36,67,40,,0.251748252,0.468531469,0.27972028
38,69,42,,0.255033557,0.463087248,0.281879195
39,70,44,,0.254901961,0.45751634,0.287581699
38,69,42,,0.255033557,0.463087248,0.281879195
37,69,42,,0.25,0.466216216,0.283783784
39,70,44,,0.254901961,0.45751634,0.287581699
42,72,49,,0.257668712,0.441717791,0.300613497
42,71,47,,0.2625,0.44375,0.29375
42,72,49,,0.257668712,0.441717791,0.300613497
41,71,48,,0.25625,0.44375,0.3
41,71,47,,0.257861635,0.446540881,0.295597484
42,72,48,,0.259259259,0.444444444,0.296296296
41,71,48,,0.25625,0.44375,0.3
42,71,47,,0.2625,0.44375,0.29375
43,73,49,,0.260606061,0.442424242,0.296969697
42,71,48,,0.260869565,0.440993789,0.298136646
43,69,47,,0.270440252,0.433962264,0.295597484
42,69,47,,0.265822785,0.436708861,0.297468354
45,71,48,,0.274390244,0.432926829,0.292682927
41,69,47,,0.261146497,0.439490446,0.299363057
43,69,47,,0.270440252,0.433962264,0.295597484
43,69,47,,0.270440252,0.433962264,0.295597484
41,69,48,,0.259493671,0.436708861,0.303797468
43,70,47,,0.26875,0.4375,0.29375
44,69,47,,0.275,0.43125,0.29375
43,69,48,,0.26875,0.43125,0.3
44,69,48,,0.273291925,0.428571429,0.298136646
43,69,48,,0.26875,0.43125,0.3
45,70,48,,0.27607362,0.429447853,0.294478528
44,70,48,,0.271604938,0.432098765,0.296296296
45,70,47,,0.277777778,0.432098765,0.290123457
44,69,48,,0.273291925,0.428571429,0.298136646
44,69,47,,0.275,0.43125,0.29375
44,72,49,,0.266666667,0.436363636,0.296969697
45,72,49,,0.271084337,0.43373494,0.295180723
44,72,50,,0.265060241,0.43373494,0.301204819
46,73,50,,0.272189349,0.431952663,0.295857988
44,72,48,,0.268292683,0.43902439,0.292682927
46,73,51,,0.270588235,0.429411765,0.3
46,73,49,,0.273809524,0.43452381,0.291666667
45,74,50,,0.266272189,0.437869822,0.295857988
46,74,50,,0.270588235,0.435294118,0.294117647
44,70,47,,0.273291925,0.434782609,0.291925466
45,70,48,,0.27607362,0.429447853,0.294478528
0,69,46,,0,0.6,0.4
44,69,46,,0.27672956,0.433962264,0.289308176
42,68,46,,0.269230769,0.435897436,0.294871795
44,70,46,,0.275,0.4375,0.2875
44,70,46,,0.275,0.4375,0.2875
43,69,46,,0.272151899,0.436708861,0.291139241
46,70,48,,0.280487805,0.426829268,0.292682927
44,69,47,,0.275,0.43125,0.29375
42,68,46,,0.269230769,0.435897436,0.294871795
44,70,47,,0.273291925,0.434782609,0.291925466
43,69,47,,0.270440252,0.433962264,0.295597484
43,68,47,,0.272151899,0.430379747,0.297468354
41,67,46,,0.266233766,0.435064935,0.298701299
44,69,47,,0.275,0.43125,0.29375
41,67,45,,0.267973856,0.437908497,0.294117647
43,68,47,,0.272151899,0.430379747,0.297468354
43,70,47,,0.26875,0.4375,0.29375
45,72,48,,0.272727273,0.436363636,0.290909091
46,70,46,,0.283950617,0.432098765,0.283950617
46,71,47,,0.280487805,0.432926829,0.286585366
47,71,47,,0.284848485,0.43030303,0.284848485
45,70,46,,0.279503106,0.434782609,0.285714286
47,72,47,,0.28313253,0.43373494,0.28313253
45,70,47,,0.277777778,0.432098765,0.290123457
46,71,47,,0.280487805,0.432926829,0.286585366
46,69,49,,0.280487805,0.420731707,0.298780488
48,72,47,,0.28742515,0.431137725,0.281437126
,,,,,,
Mean ,,,,Average,,
43.04,69.99,47.12,,0.267834317,0.437618276,0.294547408
,,,,Standard Deviation,,
5.016981265,2.500484801,1.897792444,,0.028204296,0.018988909,0.012354512
