283, 40, 23
284, 42, 23
284, 42, 24
283, 41, 23
286, 43, 25
284, 41, 24
284, 42, 23
283, 40, 23
284, 40, 22
283, 40, 23
285, 41, 23
285, 41, 24
285, 42, 23
285, 42, 23
283, 41, 24
284, 40, 22
284, 40, 23
283, 40, 23
284, 42, 24
284, 40, 23
387, 111, 48
386, 110, 47
386, 110, 47
385, 109, 47
386, 110, 46
386, 110, 48
385, 108, 46
387, 110, 46
386, 110, 47
385, 108, 46
386, 109, 47
386, 109, 46
386, 109, 47
386, 109, 46
386, 110, 46
387, 109, 46
385, 108, 46
386, 110, 46
385, 109, 46
388, 111, 47
328, 278, 20
327, 278, 19
327, 278, 20
329, 279, 19
329, 279, 20
329, 279, 20
328, 277, 19
327, 277, 19
328, 278, 20
329, 280, 21
329, 280, 20
330, 280, 21
328, 279, 20
329, 279, 20
329, 279, 20
328, 279, 21
330, 280, 21
329, 280, 20
328, 279, 21
327, 277, 19
28, 157, 28
29, 157, 28
28, 157, 28
28, 157, 29
28, 156, 29
29, 158, 30
29, 159, 30
28, 157, 28
30, 159, 29
30, 159, 30
31, 159, 30
29, 158, 29
30, 159, 29
30, 159, 29
28, 157, 28
30, 158, 28
30, 158, 28
28, 157, 28
30, 158, 29
30, 159, 29
29, 66, 63
31, 68, 64
30, 67, 65
31, 67, 64
29, 65, 63
31, 68, 64
28, 65, 62
31, 67, 64
29, 66, 62
30, 65, 63
30, 67, 65
29, 66, 64
29, 66, 62
29, 65, 63
30, 67, 64
31, 67, 64
29, 66, 63
29, 66, 63
29, 66, 63
29, 65, 61
81, 60, 63
84, 61, 64
83, 62, 64
83, 62, 64
80, 59, 63
83, 62, 65
84, 62, 64
83, 62, 64
82, 60, 63
82, 60, 63
83, 62, 65
83, 62, 65
83, 62, 64
83, 60, 63
81, 60, 64
83, 62, 64
82, 60, 64
83, 62, 65
81, 60, 64
81, 60, 64
